0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:28 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:34 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:37 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:48 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:48 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:48 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:48 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:57:53 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:34 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:36 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:50 +0530] "GET /spring-mvc-demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:50 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:50 +0530] "GET /spring-mvc-demo/resources/js/simple-test.js HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:50 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:50 +0530] "GET /spring-mvc-demo/resources/images/spring-logo.png HTTP/1.1" 200 3252
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:52 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:58:56 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:01 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:01 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:41 +0530] "GET /spring-mvc-demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:41 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:41 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:44 +0530] "GET /spring-mvc-demo/hello/showForm HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [03/Feb/2019:17:59:48 +0530] "GET /spring-mvc-demo/hello/processFormVersionThree?firstName=Rjaesh&lastName=Boda HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [03/Feb/2019:18:00:06 +0530] "GET /spring-mvc-demo/hello/processFormVersionThree?firstName=Rjaesh&lastName=Boda HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [03/Feb/2019:18:00:07 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Feb/2019:18:00:07 +0530] "GET /spring-mvc-demo/hello/processFormVersionThree?firstName=Rjaesh&lastName=Boda HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [03/Feb/2019:18:00:07 +0530] "GET /spring-mvc-demo/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2019:18:00:08 +0530] "GET /spring-mvc-demo/hello/processFormVersionThree?firstName=Rjaesh&lastName=Boda HTTP/1.1" 200 398
